NOM;COORDONNEES;LAT;LON;COUNTRY_CODE
AIGUEBLETTE;N 45°33’/ E 005°48’;;;FR
AJACCIO;N 41°55’/ E 008°45’;;;FR
ANDANCE;N 45°13’/ E 004°48’;;;FR
ANNECY;N 45°51’/ E 006°10’;;;FR
BAGES;N 43°06’/ E 003°00’;;;FR
BASSE SEINE;N 49°26’/ E 000°36’;;;FR
BASTIA;N 42°31’/ E 009°33’;;;FR
BEAULIEU-MENTON;N 43°42’/ E 007°20’;;;FR
BEAUTIRAN;N 44°43’/ W 000°27’;;;FR
BEC D’AMBES;N 45°01’/ W 000°35’;;;FR
BERRE;N 43°29’/ E 005°06’;;;FR
BISCAROSSE;N 44°21’/ W 001°11’;;;FR
BORT LES ORGUES;N 45°27’/ E 002°30’;;;FR
BOULOGNE SUR GESSE;N 43°20’/ E 000°40’;;;FR
BREST;N 48°18’/ W 004°26’;;;FR
CALVI;N 42°34’/ E 008°47’;;;FR
CANNES-NICE;N 43°32’/ E 007°05’;;;FR
CARRO;N 43°21’/ E 005°01’;;;FR
CASTELLANE;N 43°54’ / E 006°32’;;;FR
CAZAUBON;N 43°56’/ W 000°03’;;;FR
CAZAUX;N 44°30’/ W 001°09’;;;FR
CHARMES;N 44°52’/ E 004°51’;;;FR
CHATEAUNEUF DU PAPE;N 44°02’/ E 004°49’;;;FR
CHAUMARD;N 47°09’/ E 003°54’;;;FR
DER;N 48°35’/ E 004°45’;;;FR
DONGE;N 47°18’/ W 002°06’;;;FR
DONZERE;N 44°27’/ E 004°42’;;;FR
DUC;N 47°57’/ W 002°25’;;;FR
EGUZON;N 46°24’/ E 001°37’;;;FR
FIGARI;N 41°28’/ E 009°04’;;;FR
FORET D’ORIENT;N 48°16’/ E 004°19’;;;FR
FOS;N 43°24’ / E 004°56’;;;FR
GABAS;N 43°17’/ W 000°08’;;;FR
GOLFE DU MOBIHAN;N 47°34’/ W 002°50’;;;FR
GRAU DU ROI;N 43° 32’ / E 004° 07’;;;FR
GUERLEDAN;N 48°12’/ W 003°03’;;;FR
